row,name,acronym,id,atlas_id,parent_structure_id,parent_name,parent_acronym,voxels_in_structure
596,"Central amygdalar nucleus, capsular part",CEAc,544,67,536,Central amygdalar nucleus,CEA,19807
597,"Central amygdalar nucleus, lateral part",CEAl,551,68,536,Central amygdalar nucleus,CEA,16635
598,"Central amygdalar nucleus, medial part",CEAm,559,69,536,Central amygdalar nucleus,CEA,47891
599,Intercalated amygdalar nucleus,IA,1105,137,278,Striatum-like amygdalar nuclei,sAMY,11701
600,Medial amygdalar nucleus,MEA,403,191,278,Striatum-like amygdalar nuclei,sAMY,129772
601,"Medial amygdalar nucleus, anterodorsal part",MEAad,411,192,403,Medial amygdalar nucleus,MEA,0
602,"Medial amygdalar nucleus, anteroventral part",MEAav,418,193,403,Medial amygdalar nucleus,MEA,0
603,"Medial amygdalar nucleus, posterodorsal part",MEApd,426,194,403,Medial amygdalar nucleus,MEA,0
604,"Medial amygdalar nucleus, posterodorsal part, sublayer a",MEApd-a,472,907,426,"Medial amygdalar nucleus, posterodorsal part",MEApd,0
605,"Medial amygdalar nucleus, posterodorsal part, sublayer b",MEApd-b,480,908,426,"Medial amygdalar nucleus, posterodorsal part",MEApd,0
606,"Medial amygdalar nucleus, posterodorsal part, sublayer c",MEApd-c,487,909,426,"Medial amygdalar nucleus, posterodorsal part",MEApd,0
607,"Medial amygdalar nucleus, posteroventral part",MEApv,435,195,403,Medial amygdalar nucleus,MEA,0
608,Pallidum,PAL,803,241,623,Cerebral nuclei,CNU,72279
609,"Pallidum, dorsal region",PALd,818,243,803,Pallidum,PAL,0
610,"Globus pallidus, external segment",GPe,1022,127,818,"Pallidum, dorsal region",PALd,100114
611,"Globus pallidus, internal segment",GPi,1031,128,818,"Pallidum, dorsal region",PALd,27100
612,"Pallidum, ventral region",PALv,835,245,803,Pallidum,PAL,0
613,Substantia innominata,SI,342,325,835,"Pallidum, ventral region",PALv,193782
614,Magnocellular nucleus,MA,298,178,835,"Pallidum, ventral region",PALv,23333
615,"Pallidum, medial region",PALm,826,244,803,Pallidum,PAL,0
616,Medial septal complex,MSC,904,395,826,"Pallidum, medial region",PALm,0
617,Medial septal nucleus,MS,564,211,904,Medial septal complex,MSC,26547
618,Diagonal band nucleus,NDB,596,215,904,Medial septal complex,MSC,47280
619,Triangular nucleus of septum,TRS,581,355,826,"Pallidum, medial region",PALm,22804
620,"Pallidum, caudal region",PALc,809,242,803,Pallidum,PAL,0
621,Bed nuclei of the stria terminalis,BST,351,43,809,"Pallidum, caudal region",PALc,85792
622,"Bed nuclei of the stria terminalis, anterior division",BSTa,359,44,351,Bed nuclei of the stria terminalis,BST,0
623,"Bed nuclei of the stria terminalis, anterior division, anterolateral area",BSTal,537,774,359,"Bed nuclei of the stria terminalis, anterior division",BSTa,0
624,"Bed nuclei of the stria terminalis, anterior division, anteromedial area",BSTam,498,769,359,"Bed nuclei of the stria terminalis, anterior division",BSTa,0
625,"Bed nuclei of the stria terminalis, anterior division, dorsomedial nucleus",BSTdm,505,770,359,"Bed nuclei of the stria terminalis, anterior division",BSTa,0
626,"Bed nuclei of the stria terminalis, anterior division, fusiform nucleus",BSTfu,513,771,359,"Bed nuclei of the stria terminalis, anterior division",BSTa,0
627,"Bed nuclei of the stria terminalis, anterior division, juxtacapsular nucleus",BSTju,546,775,359,"Bed nuclei of the stria terminalis, anterior division",BSTa,0
628,"Bed nuclei of the stria terminalis, anterior division, magnocellular nucleus",BSTmg,521,772,359,"Bed nuclei of the stria terminalis, anterior division",BSTa,0
629,"Bed nuclei of the stria terminalis, anterior division, oval nucleus",BSTov,554,776,359,"Bed nuclei of the stria terminalis, anterior division",BSTa,0
630,"Bed nuclei of the stria terminalis, anterior division, rhomboid nucleus",BSTrh,562,777,359,"Bed nuclei of the stria terminalis, anterior division",BSTa,0
631,"Bed nuclei of the stria terminalis, anterior division, ventral nucleus",BSTv,529,773,359,"Bed nuclei of the stria terminalis, anterior division",BSTa,0
632,"Bed nuclei of the stria terminalis, posterior division",BSTp,367,45,351,Bed nuclei of the stria terminalis,BST,0
633,"Bed nuclei of the stria terminalis, posterior division, dorsal nucleus",BSTd,569,778,367,"Bed nuclei of the stria terminalis, posterior division",BSTp,0
634,"Bed nuclei of the stria terminalis, posterior division, principal nucleus",BSTpr,578,779,367,"Bed nuclei of the stria terminalis, posterior division",BSTp,0
635,"Bed nuclei of the stria terminalis, posterior division, interfascicular nucleus",BSTif,585,780,367,"Bed nuclei of the stria terminalis, posterior division",BSTp,0
636,"Bed nuclei of the stria terminalis, posterior division, transverse nucleus",BSTtr,594,781,367,"Bed nuclei of the stria terminalis, posterior division",BSTp,0
637,"Bed nuclei of the stria terminalis, posterior division, strial extension",BSTse,602,782,367,"Bed nuclei of the stria terminalis, posterior division",BSTp,0
638,Bed nucleus of the anterior commissure,BAC,287,35,809,"Pallidum, caudal region",PALc,483
639,Brain stem,BS,343,42,8,Basic cell groups and regions,grey,0
640,Interbrain,IB,1129,140,343,Brain stem,BS,0
641,Thalamus,TH,549,351,1129,Interbrain,IB,58834
642,"Thalamus, sensory-motor cortex related",DORsm,864,107,549,Thalamus,TH,0
643,Ventral group of the dorsal thalamus,VENT,637,362,864,"Thalamus, sensory-motor cortex related",DORsm,0
644,Ventral anterior-lateral complex of the thalamus,VAL,629,361,637,Ventral group of the dorsal thalamus,VENT,52314
645,Ventral medial nucleus of the thalamus,VM,685,368,637,Ventral group of the dorsal thalamus,VENT,59299
646,Ventral posterior complex of the thalamus,VP,709,371,637,Ventral group of the dorsal thalamus,VENT,0
647,Ventral posterolateral nucleus of the thalamus,VPL,718,372,709,Ventral posterior complex of the thalamus,VP,56111
648,"Ventral posterolateral nucleus of the thalamus, parvicellular part",VPLpc,725,373,709,Ventral posterior complex of the thalamus,VP,6326
649,Ventral posteromedial nucleus of the thalamus,VPM,733,374,709,Ventral posterior complex of the thalamus,VP,105262
650,"Ventral posteromedial nucleus of the thalamus, parvicellular part",VPMpc,741,375,709,Ventral posterior complex of the thalamus,VP,13716
651,Posterior triangular thalamic nucleus,PoT,563807435,,637,,,0
652,Subparafascicular nucleus,SPF,406,333,864,"Thalamus, sensory-motor cortex related",DORsm,0
653,"Subparafascicular nucleus, magnocellular part",SPFm,414,334,406,Subparafascicular nucleus,SPF,4449
654,"Subparafascicular nucleus, parvicellular part",SPFp,422,335,406,Subparafascicular nucleus,SPF,8597
655,Subparafascicular area,SPA,609,783,864,"Thalamus, sensory-motor cortex related",DORsm,8454
656,Peripeduncular nucleus,PP,1044,271,864,"Thalamus, sensory-motor cortex related",DORsm,3932
657,"Geniculate group, dorsal thalamus",GENd,1008,125,864,"Thalamus, sensory-motor cortex related",DORsm,0
658,Medial geniculate complex,MG,475,200,1008,"Geniculate group, dorsal thalamus",GENd,0
659,"Medial geniculate complex, dorsal part",MGd,1072,416,475,Medial geniculate complex,MG,11021
660,"Medial geniculate complex, ventral part",MGv,1079,417,475,Medial geniculate complex,MG,17737
661,"Medial geniculate complex, medial part",MGm,1088,418,475,Medial geniculate complex,MG,16021
662,Dorsal part of the lateral geniculate complex,LGd,170,162,1008,"Geniculate group, dorsal thalamus",GENd,0
663,"Dorsal part of the lateral geniculate complex, shell",LGd-sh,496345664,,170,,,46226
664,"Dorsal part of the lateral geniculate complex, core",LGd-co,496345668,,170,,,0
665,"Dorsal part of the lateral geniculate complex, ipsilateral zone",LGd-ip,496345672,,170,,,0
666,"Thalamus, polymodal association cortex related",DORpm,856,106,549,Thalamus,TH,0
667,Lateral group of the dorsal thalamus,LAT,138,158,856,"Thalamus, polymodal association cortex related",DORpm,0
668,Lateral posterior nucleus of the thalamus,LP,218,168,138,Lateral group of the dorsal thalamus,LAT,77053
669,Posterior complex of the thalamus,PO,1020,268,138,Lateral group of the dorsal thalamus,LAT,80140
670,Posterior limiting nucleus of the thalamus,POL,1029,269,138,Lateral group of the dorsal thalamus,LAT,13149
671,Suprageniculate nucleus,SGN,325,323,138,Lateral group of the dorsal thalamus,LAT,11633
672,Ethmoid nucleus of the thalamus,Eth,560581551,,138,,,0
673,Retroethmoid nucleus,REth,560581555,,138,,,0
674,Anterior group of the dorsal thalamus,ATN,239,29,856,"Thalamus, polymodal association cortex related",DORpm,0
675,Anteroventral nucleus of thalamus,AV,255,31,239,Anterior group of the dorsal thalamus,ATN,26622
676,Anteromedial nucleus,AM,127,15,239,Anterior group of the dorsal thalamus,ATN,0
677,"Anteromedial nucleus, dorsal part",AMd,1096,419,127,Anteromedial nucleus,AM,15662
678,"Anteromedial nucleus, ventral part",AMv,1104,420,127,Anteromedial nucleus,AM,10627
679,Anterodorsal nucleus,AD,64,7,239,Anterior group of the dorsal thalamus,ATN,10248
680,Interanteromedial nucleus of the thalamus,IAM,1120,139,239,Anterior group of the dorsal thalamus,ATN,2742
681,Interanterodorsal nucleus of the thalamus,IAD,1113,138,239,Anterior group of the dorsal thalamus,ATN,7225
682,Lateral dorsal nucleus of thalamus,LD,155,160,239,Anterior group of the dorsal thalamus,ATN,65017
683,Medial group of the dorsal thalamus,MED,444,196,856,"Thalamus, polymodal association cortex related",DORpm,0
684,Intermediodorsal nucleus of the thalamus,IMD,59,148,444,Medial group of the dorsal thalamus,MED,11270
685,Mediodorsal nucleus of thalamus,MD,362,186,444,Medial group of the dorsal thalamus,MED,88198
686,"Mediodorsal nucleus of the thalamus, central part",MDc,617,784,362,Mediodorsal nucleus of thalamus,MD,0
687,"Mediodorsal nucleus of the thalamus, lateral part",MDl,626,785,362,Mediodorsal nucleus of thalamus,MD,0
688,"Mediodorsal nucleus of the thalamus, medial part",MDm,636,786,362,Mediodorsal nucleus of thalamus,MD,0
689,Submedial nucleus of the thalamus,SMT,366,328,444,Medial group of the dorsal thalamus,MED,19682
690,Perireunensis nucleus,PR,1077,275,444,Medial group of the dorsal thalamus,MED,9697
691,Midline group of the dorsal thalamus,MTN,571,212,856,"Thalamus, polymodal association cortex related",DORpm,0
692,Paraventricular nucleus of the thalamus,PVT,149,301,571,Midline group of the dorsal thalamus,MTN,28430
693,Parataenial nucleus,PT,15,284,571,Midline group of the dorsal thalamus,MTN,14706
694,Nucleus of reuniens,RE,181,305,571,Midline group of the dorsal thalamus,MTN,27167
695,Xiphoid thalamic nucleus,Xi,560581559,,571,,,0
696,Intralaminar nuclei of the dorsal thalamus,ILM,51,147,856,"Thalamus, polymodal association cortex related",DORpm,0
697,Rhomboid nucleus,RH,189,306,51,Intralaminar nuclei of the dorsal thalamus,ILM,5829
698,Central medial nucleus of the thalamus,CM,599,74,51,Intralaminar nuclei of the dorsal thalamus,ILM,15985
699,Paracentral nucleus,PCN,907,254,51,Intralaminar nuclei of the dorsal thalamus,ILM,15258
700,Central lateral nucleus of the thalamus,CL,575,71,51,Intralaminar nuclei of the dorsal thalamus,ILM,23142
701,Parafascicular nucleus,PF,930,257,51,Intralaminar nuclei of the dorsal thalamus,ILM,31335
702,Posterior intralaminar thalamic nucleus,PIL,560581563,,51,,,0
703,Reticular nucleus of the thalamus,RT,262,315,856,"Thalamus, polymodal association cortex related",DORpm,92624
704,"Geniculate group, ventral thalamus",GENv,1014,126,856,"Thalamus, polymodal association cortex related",DORpm,0
705,Intergeniculate leaflet of the lateral geniculate complex,IGL,27,144,1014,"Geniculate group, ventral thalamus",GENv,4415
706,Intermediate geniculate nucleus,IntG,563807439,,1014,,,0
707,Ventral part of the lateral geniculate complex,LGv,178,163,1014,"Geniculate group, ventral thalamus",GENv,25892
708,"Ventral part of the lateral geniculate complex, lateral zone",LGvl,300,461,178,Ventral part of the lateral geniculate complex,LGv,0
709,"Ventral part of the lateral geniculate complex, medial zone",LGvm,316,463,178,Ventral part of the lateral geniculate complex,LGv,0
710,Subgeniculate nucleus,SubG,321,464,1014,"Geniculate group, ventral thalamus",GENv,1725
711,Epithalamus,EPI,958,119,856,"Thalamus, polymodal association cortex related",DORpm,0
712,Medial habenula,MH,483,201,958,Epithalamus,EPI,20492
713,Lateral habenula,LH,186,164,958,Epithalamus,EPI,22133
714,Pineal body,PIN,953,260,958,Epithalamus,EPI,0
715,Hypothalamus,HY,1097,136,1129,Interbrain,IB,176430
716,Periventricular zone,PVZ,157,302,1097,Hypothalamus,HY,0
717,Supraoptic nucleus,SO,390,331,157,Periventricular zone,PVZ,2998
718,Accessory supraoptic group,ASO,332,465,157,Periventricular zone,PVZ,388
719,Nucleus circularis,NC,432,902,332,Accessory supraoptic group,ASO,0
720,Paraventricular hypothalamic nucleus,PVH,38,287,157,Periventricular zone,PVZ,12076
721,"Paraventricular hypothalamic nucleus, magnocellular division",PVHm,71,291,38,Paraventricular hypothalamic nucleus,PVH,0
722,"Paraventricular hypothalamic nucleus, magnocellular division, anterior magnocellular part",PVHam,47,288,71,"Paraventricular hypothalamic nucleus, magnocellular division",PVHm,0
723,"Paraventricular hypothalamic nucleus, magnocellular division, medial magnocellular part",PVHmm,79,292,71,"Paraventricular hypothalamic nucleus, magnocellular division",PVHm,0
724,"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part",PVHpm,103,295,71,"Paraventricular hypothalamic nucleus, magnocellular division",PVHm,0
725,"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, lateral zone",PVHpml,652,788,103,"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part",PVHpm,0
726,"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, medial zone",PVHpmm,660,789,103,"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part",PVHpm,0
727,"Paraventricular hypothalamic nucleus, parvicellular division",PVHp,94,294,38,Paraventricular hypothalamic nucleus,PVH,0
728,"Paraventricular hypothalamic nucleus, parvicellular division, anterior parvicellular part",PVHap,55,289,94,"Paraventricular hypothalamic nucleus, parvicellular division",PVHp,0
729,"Paraventricular hypothalamic nucleus, parvicellular division, medial parvicellular part, dorsal zone",PVHmpd,87,293,94,"Paraventricular hypothalamic nucleus, parvicellular division",PVHp,0
730,"Paraventricular hypothalamic nucleus, parvicellular division, periventricular part",PVHpv,110,296,94,"Paraventricular hypothalamic nucleus, parvicellular division",PVHp,0
731,"Periventricular hypothalamic nucleus, anterior part",PVa,30,286,157,Periventricular zone,PVZ,3191
732,"Periventricular hypothalamic nucleus, intermediate part",PVi,118,297,157,Periventricular zone,PVZ,12826
733,Arcuate hypothalamic nucleus,ARH,223,27,157,Periventricular zone,PVZ,18325
734,Periventricular region,PVR,141,300,1097,Hypothalamus,HY,0
735,Anterodorsal preoptic nucleus,ADP,72,8,141,Periventricular region,PVR,6385
736,Anterior hypothalamic area,AHA,80,9,141,Periventricular region,PVR,0
737,Anteroventral preoptic nucleus,AVP,263,32,141,Periventricular region,PVR,5898
738,Anteroventral periventricular nucleus,AVPV,272,33,141,Periventricular region,PVR,11711
739,Dorsomedial nucleus of the hypothalamus,DMH,830,103,141,Periventricular region,PVR,24068
740,"Dorsomedial nucleus of the hypothalamus, anterior part",DMHa,668,790,830,Dorsomedial nucleus of the hypothalamus,DMH,0
741,"Dorsomedial nucleus of the hypothalamus, posterior part",DMHp,676,791,830,Dorsomedial nucleus of the hypothalamus,DMH,0
742,"Dorsomedial nucleus of the hypothalamus, ventral part",DMHv,684,792,830,Dorsomedial nucleus of the hypothalamus,DMH,0
743,Median preoptic nucleus,MEPO,452,197,141,Periventricular region,PVR,2595
744,Medial preoptic area,MPO,523,206,141,Periventricular region,PVR,35645
745,Vascular organ of the lamina terminalis,OV,763,236,141,Periventricular region,PVR,560
746,Posterodorsal preoptic nucleus,PD,914,255,141,Periventricular region,PVR,743
747,Parastrial nucleus,PS,1109,279,141,Periventricular region,PVR,6173
748,Suprachiasmatic preoptic nucleus,PSCH,1124,281,141,Periventricular region,PVR,0
749,"Periventricular hypothalamic nucleus, posterior part",PVp,126,298,141,Periventricular region,PVR,8126
750,"Periventricular hypothalamic nucleus, preoptic part",PVpo,133,299,141,Periventricular region,PVR,9158
751,Subparaventricular zone,SBPV,347,467,141,Periventricular region,PVR,7008
752,Suprachiasmatic nucleus,SCH,286,318,141,Periventricular region,PVR,4229
753,Subfornical organ,SFO,338,466,141,Periventricular region,PVR,1382
754,Ventromedial preoptic nucleus,VMPO,576073699,,141,,,0
755,Ventrolateral preoptic nucleus,VLPO,689,793,141,Periventricular region,PVR,4291
756,Hypothalamic medial zone,MEZ,467,199,1097,Hypothalamus,HY,0
757,Anterior hypothalamic nucleus,AHN,88,10,467,Hypothalamic medial zone,MEZ,45466
758,"Anterior hypothalamic nucleus, anterior part",AHNa,700,794,88,Anterior hypothalamic nucleus,AHN,0
759,"Anterior hypothalamic nucleus, central part",AHNc,708,795,88,Anterior hypothalamic nucleus,AHN,0
760,"Anterior hypothalamic nucleus, dorsal part",AHNd,716,796,88,Anterior hypothalamic nucleus,AHN,0
761,"Anterior hypothalamic nucleus, posterior part",AHNp,724,797,88,Anterior hypothalamic nucleus,AHN,0
762,Mammillary body,MBO,331,182,467,Hypothalamic medial zone,MEZ,0
763,Lateral mammillary nucleus,LM,210,167,331,Mammillary body,MBO,4951
764,Medial mammillary nucleus,MM,491,202,331,Mammillary body,MBO,0
765,"Medial mammillary nucleus, median part",MMme,732,798,491,Medial mammillary nucleus,MM,4967
766,"Medial mammillary nucleus, lateral part",MMl,606826647,,491,,,0
767,"Medial mammillary nucleus, medial part",MMm,606826651,,491,,,0
768,"Medial mammillary nucleus, posterior part",MMp,606826655,,491,,,0
769,"Medial mammillary nucleus, dorsal part",MMd,606826659,,491,,,0
770,Supramammillary nucleus,SUM,525,348,331,Mammillary body,MBO,16305
771,"Supramammillary nucleus, lateral part",SUMl,1110,421,525,Supramammillary nucleus,SUM,0
772,"Supramammillary nucleus, medial part",SUMm,1118,422,525,Supramammillary nucleus,SUM,0
773,Tuberomammillary nucleus,TM,557,352,331,Mammillary body,MBO,0
774,"Tuberomammillary nucleus, dorsal part",TMd,1126,423,557,Tuberomammillary nucleus,TM,2243
775,"Tuberomammillary nucleus, ventral part",TMv,1,424,557,Tuberomammillary nucleus,TM,6931
776,Medial preoptic nucleus,MPN,515,205,467,Hypothalamic medial zone,MEZ,25896
777,"Medial preoptic nucleus, central part",MPNc,740,799,515,Medial preoptic nucleus,MPN,0
778,"Medial preoptic nucleus, lateral part",MPNl,748,800,515,Medial preoptic nucleus,MPN,0
779,"Medial preoptic nucleus, medial part",MPNm,756,801,515,Medial preoptic nucleus,MPN,0
780,Dorsal premammillary nucleus,PMd,980,263,467,Hypothalamic medial zone,MEZ,8433
781,Ventral premammillary nucleus,PMv,1004,266,467,Hypothalamic medial zone,MEZ,12528
782,"Paraventricular hypothalamic nucleus, descending division",PVHd,63,290,467,Hypothalamic medial zone,MEZ,8369
783,"Paraventricular hypothalamic nucleus, descending division, dorsal parvicellular part",PVHdp,439,903,63,"Paraventricular hypothalamic nucleus, descending division",PVHd,0
784,"Paraventricular hypothalamic nucleus, descending division, forniceal part",PVHf,447,904,63,"Paraventricular hypothalamic nucleus, descending division",PVHd,0
785,"Paraventricular hypothalamic nucleus, descending division, lateral parvicellular part",PVHlp,455,905,63,"Paraventricular hypothalamic nucleus, descending division",PVHd,0
786,"Paraventricular hypothalamic nucleus, descending division, medial parvicellular part, ventral zone",PVHmpv,464,906,63,"Paraventricular hypothalamic nucleus, descending division",PVHd,0
787,Ventromedial hypothalamic nucleus,VMH,693,369,467,Hypothalamic medial zone,MEZ,35169
788,"Ventromedial hypothalamic nucleus, anterior part",VMHa,761,802,693,Ventromedial hypothalamic nucleus,VMH,0
789,"Ventromedial hypothalamic nucleus, central part",VMHc,769,803,693,Ventromedial hypothalamic nucleus,VMH,0
790,"Ventromedial hypothalamic nucleus, dorsomedial part",VMHdm,777,804,693,Ventromedial hypothalamic nucleus,VMH,0
791,"Ventromedial hypothalamic nucleus, ventrolateral part",VMHvl,785,805,693,Ventromedial hypothalamic nucleus,VMH,0
792,Posterior hypothalamic nucleus,PH,946,259,467,Hypothalamic medial zone,MEZ,45251
793,Hypothalamic lateral zone,LZ,290,177,1097,Hypothalamus,HY,0
794,Lateral hypothalamic area,LHA,194,165,290,Hypothalamic lateral zone,LZ,132570
795,Lateral preoptic area,LPO,226,169,290,Hypothalamic lateral zone,LZ,35519
796,Preparasubthalamic nucleus,PST,356,468,290,Hypothalamic lateral zone,LZ,816
797,Parasubthalamic nucleus,PSTN,364,469,290,Hypothalamic lateral zone,LZ,10628
798,Perifornical nucleus,PeF,576073704,,290,,,0
799,Retrochiasmatic area,RCH,173,304,290,Hypothalamic lateral zone,LZ,9449
800,Subthalamic nucleus,STN,470,341,290,Hypothalamic lateral zone,LZ,12463
801,Tuberal nucleus,TU,614,359,290,Hypothalamic lateral zone,LZ,33500
802,Zona incerta,ZI,797,382,290,Hypothalamic lateral zone,LZ,99806
803,Dopaminergic A13 group,A13,796,806,797,Zona incerta,ZI,0
804,Fields of Forel,FF,804,807,797,Zona incerta,ZI,15439
805,Median eminence,ME,10671,,1097,,,5077
806,Midbrain,MB,313,180,343,Brain stem,BS,433116
807,"Midbrain, sensory related",MBsen,339,183,313,Midbrain,MB,0
808,"Superior colliculus, sensory related",SCs,302,320,339,"Midbrain, sensory related",MBsen,0
809,"Superior colliculus, optic layer",SCop,851,813,302,"Superior colliculus, sensory related",SCs,41155
810,"Superior colliculus, superficial gray layer",SCsg,842,812,302,"Superior colliculus, sensory related",SCs,73727
811,"Superior colliculus, zonal layer",SCzo,834,811,302,"Superior colliculus, sensory related",SCs,23252
812,Inferior colliculus,IC,4,141,339,"Midbrain, sensory related",MBsen,0
813,"Inferior colliculus, central nucleus",ICc,811,808,4,Inferior colliculus,IC,72083
814,"Inferior colliculus, dorsal nucleus",ICd,820,809,4,Inferior colliculus,IC,84648
815,"Inferior colliculus, external nucleus",ICe,828,810,4,Inferior colliculus,IC,127870
816,Nucleus of the brachium of the inferior colliculus,NB,580,213,339,"Midbrain, sensory related",MBsen,5607
817,Nucleus sagulum,SAG,271,316,339,"Midbrain, sensory related",MBsen,6286
818,Parabigeminal nucleus,PBG,874,250,339,"Midbrain, sensory related",MBsen,2852
819,Midbrain trigeminal nucleus,MEV,460,198,339,"Midbrain, sensory related",MBsen,606
820,Subcommissural organ,SCO,599626923,,339,,,0
821,"Midbrain, motor related",MBmot,323,181,313,Midbrain,MB,0
822,"Substantia nigra, reticular part",SNr,381,330,323,"Midbrain, motor related",MBmot,99080
823,Ventral tegmental area,VTA,749,376,323,"Midbrain, motor related",MBmot,27365
824,Paranigral nucleus,PN,607344830,,323,,,0
825,"Midbrain reticular nucleus, retrorubral area",RR,246,313,323,"Midbrain, motor related",MBmot,8846
826,Midbrain reticular nucleus,MRN,128,864,323,"Midbrain, motor related",MBmot,329045
827,"Midbrain reticular nucleus, magnocellular part",MRNm,539,208,128,Midbrain reticular nucleus,MRN,0
828,"Midbrain reticular nucleus, magnocellular part, general",MRNmg,548,209,128,Midbrain reticular nucleus,MRN,0
829,"Midbrain reticular nucleus, parvicellular part",MRNp,555,210,128,Midbrain reticular nucleus,MRN,0
830,"Superior colliculus, motor related",SCm,294,319,323,"Midbrain, motor related",MBmot,0
831,"Superior colliculus, motor related, deep gray layer",SCdg,26,427,294,"Superior colliculus, motor related",SCm,76483
832,"Superior colliculus, motor related, deep white layer",SCdw,42,429,294,"Superior colliculus, motor related",SCm,21283
833,"Superior colliculus, motor related, intermediate white layer",SCiw,17,426,294,"Superior colliculus, motor related",SCm,133937
834,"Superior colliculus, motor related, intermediate gray layer",SCig,10,425,294,"Superior colliculus, motor related",SCm,130357
835,"Superior colliculus, motor related, intermediate gray layer, sublayer a",SCig-a,494,910,10,"Superior colliculus, motor related, intermediate gray layer",SCig,0
836,"Superior colliculus, motor related, intermediate gray layer, sublayer b",SCig-b,503,911,10,"Superior colliculus, motor related, intermediate gray layer",SCig,0
837,"Superior colliculus, motor related, intermediate gray layer, sublayer c",SCig-c,511,912,10,"Superior colliculus, motor related, intermediate gray layer",SCig,0
838,Periaqueductal gray,PAG,795,240,323,"Midbrain, motor related",MBmot,275647
839,Precommissural nucleus,PRC,50,430,795,Periaqueductal gray,PAG,10968
840,Interstitial nucleus of Cajal,INC,67,149,795,Periaqueductal gray,PAG,5086
841,Nucleus of Darkschewitsch,ND,587,214,795,Periaqueductal gray,PAG,5871
842,Supraoculomotor periaqueductal gray,Su3,614454277,,795,,,0
843,Pretectal region,PRT,1100,278,323,"Midbrain, motor related",MBmot,0
844,Anterior pretectal nucleus,APN,215,26,1100,Pretectal region,PRT,81666
845,Medial pretectal area,MPT,531,207,1100,Pretectal region,PRT,2821
846,Nucleus of the optic tract,NOT,628,219,1100,Pretectal region,PRT,13159
847,Nucleus of the posterior commissure,NPC,634,220,1100,Pretectal region,PRT,18484
848,Olivary pretectal nucleus,OP,706,229,1100,Pretectal region,PRT,3733
849,Posterior pretectal nucleus,PPT,1061,273,1100,Pretectal region,PRT,9225
850,Retroparafascicular nucleus,RPF,549009203,,1100,,,0
851,Intercollicular nucleus,InCo,549009207,,323,,,0
852,Cuneiform nucleus,CUN,616,76,323,"Midbrain, motor related",MBmot,35272
853,Red nucleus,RN,214,309,323,"Midbrain, motor related",MBmot,50443
854,Oculomotor nucleus,III,35,145,323,"Midbrain, motor related",MBmot,2084
855,Medial accesory oculomotor nucleus,MA3,549009211,,323,,,0
856,Edinger-Westphal nucleus,EW,975,121,323,"Midbrain, motor related",MBmot,1664
857,Trochlear nucleus,IV,115,155,323,"Midbrain, motor related",MBmot,454
858,Paratrochlear nucleus,Pa4,606826663,,323,,,0
859,Ventral tegmental nucleus,VTN,757,377,323,"Midbrain, motor related",MBmot,2418
860,Anterior tegmental nucleus,AT,231,28,323,"Midbrain, motor related",MBmot,2757
861,Lateral terminal nucleus of the accessory optic tract,LT,66,432,323,"Midbrain, motor related",MBmot,1147
862,Dorsal terminal nucleus of the accessory optic tract,DT,75,433,323,"Midbrain, motor related",MBmot,725
863,Medial terminal nucleus of the accessory optic tract,MT,58,431,323,"Midbrain, motor related",MBmot,2753
864,"Substantia nigra, lateral part",SNl,615,925,323,"Midbrain, motor related",MBmot,0
865,"Midbrain, behavioral state related",MBsta,348,184,313,Midbrain,MB,0
866,"Substantia nigra, compact part",SNc,374,329,348,"Midbrain, behavioral state related",MBsta,12629
867,Pedunculopontine nucleus,PPN,1052,272,348,"Midbrain, behavioral state related",MBsta,56987
868,Midbrain raphe nuclei,RAmb,165,303,348,"Midbrain, behavioral state related",MBsta,0
869,Interfascicular nucleus raphe,IF,12,142,165,Midbrain raphe nuclei,RAmb,5559
870,Interpeduncular nucleus,IPN,100,153,165,Midbrain raphe nuclei,RAmb,777
871,"Interpeduncular nucleus, rostral",IPR,607344834,,100,,,0
872,"Interpeduncular nucleus, caudal",IPC,607344838,,100,,,0
873,"Interpeduncular nucleus, apical",IPA,607344842,,100,,,0
874,"Interpeduncular nucleus, lateral",IPL,607344846,,100,,,0
875,"Interpeduncular nucleus, intermediate",IPI,607344850,,100,,,0
876,"Interpeduncular nucleus, dorsomedial",IPDM,607344854,,100,,,0
877,"Interpeduncular nucleus, dorsolateral",IPDL,607344858,,100,,,0
878,"Interpeduncular nucleus, rostrolateral",IPRL,607344862,,100,,,0
879,Rostral linear nucleus raphe,RL,197,307,165,Midbrain raphe nuclei,RAmb,3546
880,Central linear nucleus raphe,CLI,591,73,165,Midbrain raphe nuclei,RAmb,5340
881,Dorsal nucleus raphe,DR,872,108,165,Midbrain raphe nuclei,RAmb,9814
882,Hindbrain,HB,1065,132,343,Brain stem,BS,0
883,Pons,P,771,237,1065,Hindbrain,HB,231346
884,"Pons, sensory related",P-sen,1132,282,771,Pons,P,0
885,Nucleus of the lateral lemniscus,NLL,612,217,1132,"Pons, sensory related",P-sen,46328
